age,employment_type,years_employed,annual_income,monthly_debt,loan_amount_requested,loan_purpose,credit_score,missed_payments,savings,dti_ratio,loan_to_income,defaulted
29,Salaried,11,513128.3,12957.52,1012061.96,Business,621,1,486213.78,30.3024,1.972337,0
36,Self-Employed,0,1217160.31,39446.41,465415.41,Personal,765,2,194073.16,38.8903,0.382378,1
36,Salaried,7,2682007.17,113184.61,1691236.1,Personal,672,4,609274.8,50.6417,0.630586,0
35,Salaried,2,971074.86,44188.0,5312696.04,Home,716,1,712204.39,54.6051,5.470944,1
27,Business Owner,8,1386120.46,21736.83,1585972.48,Personal,666,0,158092.73,18.8181,1.144181,0
43,Self-Employed,4,967437.28,15628.61,809894.54,Personal,681,1,248269.12,19.3856,0.837155,0
21,Freelancer,0,872329.88,20243.61,326875.8,Personal,716,0,495447.25,27.8476,0.374716,0
49,Salaried,10,1349546.79,9357.93,7803594.53,Home,517,0,241032.81,8.321,5.782382,0
35,Salaried,11,1122420.67,8404.46,5360329.61,Home,600,2,246807.41,8.9854,4.775687,0
39,Business Owner,6,846823.35,51846.67,1464587.04,Education,555,0,52918.66,73.4699,1.729507,0
47,Business Owner,13,3588221.44,149153.24,19850627.72,Home,620,0,163331.38,49.8809,5.532164,1
27,Business Owner,2,2307623.42,101585.64,5274792.0,Home,786,1,102594.66,52.8261,2.285811,0
32,Salaried,9,2760743.68,65908.55,3898582.55,Personal,653,1,404469.95,28.6482,1.412149,0
26,Salaried,8,453504.39,15750.88,2675567.44,Home,625,1,202847.85,41.6778,5.899761,1
24,Freelancer,1,1777484.4,82084.27,3721628.51,Business,708,0,97721.86,55.416,2.093762,0
36,Salaried,7,1576601.38,34525.2,3194576.2,Home,828,0,152171.67,26.2782,2.026242,0
43,Salaried,5,2206819.19,77084.2,1099865.55,Personal,624,1,377045.19,41.916,0.498394,0
33,Freelancer,6,1909028.66,89567.25,1649573.14,Vehicle,731,2,176799.56,56.3012,0.86409,1
47,Self-Employed,2,2612741.02,73549.39,8750634.33,Education,615,0,310272.27,33.7803,3.349216,1
46,Self-Employed,13,1293558.11,32469.84,3164932.33,Business,639,0,200294.5,30.1214,2.446687,0
45,Self-Employed,0,1419246.13,45963.9,1777715.86,Vehicle,820,1,599313.31,38.8634,1.252578,0
36,Freelancer,2,977248.28,24873.89,2771357.29,Home,651,2,318396.37,30.5436,2.835878,0
43,Freelancer,7,2678904.28,91275.24,13660670.84,Home,736,2,144358.17,40.8862,5.09935,1
33,Freelancer,10,1777433.85,48730.4,9737325.7,Home,638,0,192576.68,32.8994,5.478306,1
38,Salaried,6,2118882.04,39649.24,3702138.07,Vehicle,811,2,38908.9,22.4548,1.747213,0
43,Salaried,1,832076.42,13193.3,4194524.56,Home,722,1,593252.25,19.0271,5.041033,0
22,Salaried,4,709531.5,13382.4,4187985.46,Home,777,1,305232.85,22.6331,5.902466,1
32,Business Owner,12,956376.5,6047.72,4372224.85,Home,638,4,435363.48,7.5883,4.571656,1
47,Self-Employed,9,3208939.23,118040.29,1938815.92,Vehicle,786,0,667830.19,44.1418,0.604192,0
35,Salaried,6,1135569.63,44880.73,3839817.2,Home,696,2,213028.12,47.4272,3.381402,0
28,Salaried,10,1984381.25,72130.57,1424370.39,Personal,791,0,309761.92,43.619,0.717791,0
31,Salaried,13,2385037.76,65547.91,8103911.64,Business,747,0,215055.89,32.9796,3.397813,0
25,Self-Employed,0,2149913.38,94198.19,8387912.39,Home,753,0,180945.53,52.5779,3.901512,0
54,Salaried,15,2393126.62,50369.28,8580393.22,Home,646,0,157516.78,25.257,3.585432,0
40,Self-Employed,13,1502779.24,44773.89,4251153.06,Education,707,0,283229.58,35.7529,2.828861,0
33,Salaried,1,3198449.91,141445.73,7905905.97,Home,689,0,1297901.39,53.0679,2.471793,0
35,Business Owner,17,10239987.09,155352.69,23858718.86,Education,761,1,1364638.19,18.2054,2.329956,0
43,Freelancer,11,956328.0,30333.13,4572992.34,Home,671,0,125555.58,38.062,4.781824,1
23,Salaried,4,714542.82,7138.97,2167818.74,Home,643,3,64442.67,11.9892,3.033854,0
27,Self-Employed,0,1369912.74,40565.92,1876571.6,Vehicle,723,0,88589.99,35.5345,1.369848,0
25,Salaried,2,1396262.73,48754.92,2966152.56,Home,750,2,201784.02,41.9018,2.124351,0
28,Business Owner,6,747213.02,23176.6,1686877.94,Education,788,2,114200.31,37.2209,2.25756,1
33,Salaried,2,1083789.2,21017.0,4206872.83,Business,743,3,149412.5,23.2706,3.881634,0
34,Self-Employed,6,3256097.28,70219.39,1631805.34,Vehicle,678,2,352138.18,25.8786,0.501154,0
42,Salaried,2,5058160.95,74586.12,9090103.86,Personal,551,1,732652.02,17.6948,1.797116,0
33,Salaried,9,1238963.11,57162.24,5359639.57,Home,738,0,117030.02,55.3646,4.325907,1
27,Salaried,9,3923824.65,119133.47,11838283.2,Education,761,1,161269.28,36.4339,3.017027,0
21,Self-Employed,3,2107632.99,37817.04,8642912.8,Home,715,0,112232.97,21.5315,4.100767,1
45,Freelancer,7,820577.82,30688.36,1048776.31,Personal,700,1,115580.42,44.8782,1.278095,1
22,Salaried,4,1426590.73,57177.34,5470907.89,Business,603,0,99310.09,48.0956,3.834953,1
47,Freelancer,1,1699627.8,8971.75,4338120.66,Education,789,1,253607.85,6.3344,2.552395,0
43,Salaried,10,1331498.15,32592.36,1013310.61,Personal,694,3,406428.84,29.3736,0.76103,0
21,Salaried,2,1222890.69,10778.93,4077244.43,Home,703,1,191142.65,10.5772,3.334104,0
38,Salaried,10,2342257.82,51464.06,720730.07,Personal,746,0,88196.02,26.3664,0.307707,0
36,Business Owner,9,1552263.28,19970.43,4209906.51,Business,770,0,83572.46,15.4384,2.712109,0
29,Self-Employed,5,633226.18,21722.78,1966272.23,Home,649,0,140523.22,41.1659,3.105166,0
21,Salaried,3,232138.78,14651.27,566840.5,Education,646,0,385407.96,75.7371,2.441817,1
33,Salaried,5,4126565.41,236673.53,7210891.7,Personal,452,0,382606.12,68.8244,1.747432,0
29,Business Owner,6,848710.8,13736.95,2250812.87,Home,674,0,220564.42,19.4228,2.652037,0
36,Self-Employed,9,2024356.71,32546.17,1204551.92,Personal,671,1,228128.54,19.2927,0.595029,0
27,Salaried,9,817866.91,14425.15,1621451.93,Business,420,2,308092.09,21.165,1.982538,0
26,Salaried,3,1322496.31,25413.67,5995073.54,Home,772,0,335303.66,23.0597,4.53315,0
40,Self-Employed,16,1816549.99,40483.87,2896598.57,Personal,650,0,361779.17,26.7434,1.59456,0
21,Salaried,0,1100806.83,23320.98,1508849.17,Education,706,0,101908.37,25.4224,1.370676,0
25,Salaried,7,1266673.63,31914.03,4807835.76,Home,743,1,782287.75,30.2342,3.795639,0
50,Self-Employed,4,1235529.39,43978.78,3756172.4,Business,757,1,175038.1,42.7141,3.040132,0
45,Self-Employed,6,3785807.95,77672.47,4361594.67,Vehicle,825,0,325880.67,24.6201,1.152091,0
36,Business Owner,13,1685365.91,60332.51,2728840.07,Vehicle,564,1,289639.59,42.9574,1.619138,0
32,Salaried,10,467219.86,15332.52,233636.61,Personal,776,1,128495.87,39.3798,0.500057,0
21,Self-Employed,3,806427.06,23745.67,937751.67,Personal,698,5,56544.96,35.3346,1.162847,1
46,Salaried,7,545483.61,5117.91,897347.12,Personal,676,4,153139.78,11.2588,1.645049,0
41,Salaried,3,1066754.15,41659.47,982748.55,Personal,680,0,92628.29,46.8631,0.921251,1
26,Business Owner,2,433212.86,8610.54,1364904.61,Home,778,0,266862.63,23.8512,3.150656,0
21,Salaried,3,1306504.4,19610.15,7017337.72,Home,598,3,547057.86,18.0116,5.371079,1
30,Salaried,9,1421746.04,15813.73,4965577.09,Education,724,2,609641.8,13.3473,3.492591,0
21,Salaried,3,939584.66,47348.03,1387179.1,Vehicle,764,0,375273.73,60.471,1.476375,0
36,Business Owner,7,1016798.12,13534.3,1291422.82,Vehicle,616,3,114255.66,15.9728,1.270088,0
25,Salaried,6,625171.84,11769.08,1814779.55,Business,900,0,146762.13,22.5904,2.902849,0
40,Salaried,14,1833512.16,4609.73,914212.46,Personal,647,2,410966.45,3.017,0.498613,0
21,Freelancer,3,749164.9,22392.56,304862.67,Personal,652,1,139429.71,35.868,0.406937,1
39,Salaried,9,807822.32,60634.28,1403589.05,Personal,712,0,648394.05,90.0707,1.737497,1
40,Salaried,3,2362090.06,113969.97,8370269.93,Business,559,0,488512.5,57.8996,3.543586,0
56,Salaried,6,749166.65,3884.05,1018533.53,Vehicle,743,0,72745.11,6.2214,1.359555,0
43,Salaried,5,1931174.48,15675.27,2087361.65,Personal,568,0,203508.06,9.7404,1.080877,0
37,Salaried,7,1334379.79,31659.43,1849267.81,Personal,719,1,1248547.25,28.4711,1.385863,0
34,Self-Employed,1,523632.96,20024.14,622531.48,Vehicle,673,2,114519.71,45.889,1.18887,0
52,Salaried,5,1384612.58,33638.83,5095376.24,Business,688,1,398636.36,29.1537,3.680001,0
23,Self-Employed,2,2348311.54,145068.71,3690843.69,Vehicle,580,1,391138.92,74.1309,1.571701,0
31,Salaried,12,953733.17,5276.14,571728.1,Vehicle,734,0,300673.69,6.6385,0.599463,0
22,Salaried,3,2170206.16,47962.17,2583666.74,Personal,678,0,393475.9,26.5203,1.190517,0
35,Salaried,7,1633022.97,103836.29,2241982.04,Personal,647,2,312216.07,76.3024,1.372903,0
28,Self-Employed,3,1711264.86,24448.45,5586819.93,Home,563,0,131008.33,17.1441,3.264731,1
33,Salaried,6,947993.77,37634.66,3163257.69,Business,595,0,195665.17,47.6391,3.336792,0
27,Freelancer,4,3167772.89,154899.85,13124135.68,Home,719,0,598084.32,58.6784,4.143017,0
38,Salaried,5,3175297.46,98172.12,11025028.29,Education,900,3,171546.7,37.1009,3.472125,0
34,Self-Employed,4,955035.22,11652.23,3854690.06,Home,666,0,758207.35,14.641,4.036176,0
22,Salaried,2,3082364.0,123144.01,14837174.19,Business,778,2,153359.27,47.9414,4.81357,1
27,Salaried,2,3189824.89,119845.16,15371976.86,Business,611,2,471661.13,45.0853,4.819066,0
41,Salaried,11,3866134.77,131968.03,2327117.73,Personal,809,3,133080.18,40.9612,0.601924,0
34,Self-Employed,9,803866.26,11561.57,4007289.01,Home,841,1,590807.87,17.2589,4.98502,0
21,Business Owner,3,741555.68,20749.3,893013.85,Education,798,1,328801.4,33.5769,1.204244,0
27,Business Owner,8,1343111.73,16660.57,4762604.11,Business,795,0,118617.73,14.8853,3.545948,0
25,Business Owner,6,2276979.68,39637.69,2559301.81,Personal,634,0,557160.81,20.8896,1.12399,1
26,Salaried,6,2556286.14,113952.7,2835005.96,Education,606,0,472271.16,53.4929,1.109033,0
41,Self-Employed,5,1373284.14,14843.67,6718582.07,Home,799,1,123710.53,12.9707,4.892347,0
22,Freelancer,2,1426169.72,40258.61,4071233.15,Education,545,0,113914.78,33.8742,2.854662,0
29,Self-Employed,7,1333222.86,55678.5,6617587.33,Home,681,2,74588.8,50.1148,4.963602,1
55,Salaried,6,504638.3,12306.47,187113.48,Personal,611,2,51630.63,29.2641,0.370787,1
30,Business Owner,3,1605029.58,56676.14,4588312.48,Home,688,0,166431.34,42.3739,2.858709,0
33,Salaried,12,1498299.17,22423.26,4627286.83,Business,706,3,322406.36,17.959,3.08836,0
40,Salaried,17,903706.15,29451.37,1512969.99,Personal,771,0,140504.13,39.1075,1.674184,0
27,Salaried,7,2840955.81,128262.25,5173506.03,Vehicle,808,0,147959.82,54.1771,1.821044,0
25,Freelancer,2,489431.39,25642.94,728774.55,Vehicle,774,0,117662.15,62.872,1.489023,1
42,Salaried,13,1359495.28,35727.83,3242023.78,Home,782,0,123811.43,31.5363,2.384726,0
32,Salaried,11,4613348.68,291398.6,10278644.65,Business,747,1,78937.67,75.7971,2.228022,0
29,Salaried,11,1031631.36,39719.11,921367.93,Personal,609,0,60123.1,46.2015,0.893117,0
24,Salaried,1,1561587.18,49998.56,8028227.37,Home,838,0,155542.0,38.4213,5.141069,0
36,Salaried,13,1769335.5,97003.45,4895043.72,Education,641,1,122911.2,65.7898,2.7666,1
31,Salaried,11,3821305.54,279180.15,6874061.31,Personal,579,1,318915.05,87.6706,1.798878,1
43,Salaried,13,1141228.8,21551.93,4464739.78,Home,855,2,225086.05,22.6618,3.912221,0
28,Salaried,10,1974116.44,52788.44,8954613.91,Business,816,0,230613.46,32.0883,4.536011,0
48,Salaried,8,908870.79,32085.86,2290636.89,Education,655,0,75687.99,42.3636,2.520311,1
36,Self-Employed,3,1219539.21,39930.82,4015576.63,Home,671,1,243666.84,39.2911,3.2927,0
22,Self-Employed,3,1845692.55,55921.06,2294199.77,Personal,689,0,144306.74,36.3578,1.243002,0
36,Salaried,5,1694134.31,17588.27,7723349.32,Business,656,2,39315.3,12.4582,4.558877,1
36,Freelancer,4,2328890.07,172939.15,4094174.48,Personal,706,0,282152.79,89.1098,1.757994,0
35,Salaried,13,988961.98,19586.34,5933470.13,Home,661,0,192715.76,23.7659,5.999695,0
35,Salaried,4,1265841.7,74853.62,2133327.63,Personal,896,1,120285.0,70.9602,1.685304,0
29,Freelancer,10,326770.75,2312.96,493136.26,Education,597,0,397666.56,8.4939,1.50912,0
24,Freelancer,0,1781569.56,10928.03,4602927.01,Home,699,4,74692.73,7.3607,2.583636,0
31,Self-Employed,9,1665400.15,83490.08,2425570.64,Vehicle,624,0,370905.7,60.1586,1.456449,1
34,Salaried,9,939471.15,39977.12,3436113.81,Home,724,0,157152.27,51.0634,3.657498,0
32,Self-Employed,0,1114808.69,56122.94,565376.49,Vehicle,573,3,104559.07,60.4117,0.507151,1
40,Salaried,9,1107667.53,77499.38,1716204.7,Education,759,1,473767.89,83.9595,1.549386,0
41,Freelancer,0,2722625.72,53917.82,4701750.61,Personal,795,0,135628.94,23.7643,1.726918,0
41,Self-Employed,9,1276481.72,67179.87,683348.11,Personal,801,1,684155.67,63.1547,0.535337,1
34,Self-Employed,0,719208.17,17966.67,859315.12,Education,644,0,262511.71,29.9774,1.194807,0
39,Self-Employed,9,2241907.56,57944.44,2089255.57,Vehicle,839,1,143342.48,31.0153,0.93191,0
28,Salaried,7,1366634.54,37873.72,3206346.26,Home,739,3,251382.12,33.2558,2.346162,0
43,Salaried,8,1014775.54,26370.79,5556929.95,Home,660,1,267527.23,31.1842,5.476019,1
23,Salaried,5,2066481.96,72867.23,2891333.35,Vehicle,860,1,569845.78,42.3138,1.399157,0
22,Business Owner,4,1212821.03,28215.47,1148085.34,Personal,816,0,601850.91,27.9172,0.946624,0
23,Salaried,5,1191924.48,32773.28,3535078.57,Education,852,1,345019.46,32.9953,2.965858,0
21,Salaried,2,1540960.31,43985.72,5839068.89,Home,692,1,186268.13,34.2532,3.78924,0
48,Salaried,13,2244641.07,39892.02,2088215.94,Vehicle,758,0,474130.01,21.3265,0.930312,0
21,Salaried,2,661062.55,21295.81,923309.29,Personal,716,1,366427.34,38.6574,1.396705,0
44,Salaried,11,1312623.23,28216.45,490285.17,Personal,729,2,396154.8,25.7955,0.373516,0
21,Self-Employed,3,1462295.84,12588.34,6881468.11,Business,604,1,450053.05,10.3303,4.705934,0
38,Business Owner,12,2499164.27,14914.67,3500385.92,Personal,665,0,421754.91,7.1614,1.400623,0
35,Salaried,7,636202.38,12596.8,1058157.7,Education,691,0,889043.69,23.76,1.663241,0
38,Business Owner,7,801203.26,26072.88,2774770.83,Home,693,2,210172.96,39.0506,3.463255,0
21,Salaried,1,2460748.42,39122.76,4982595.02,Business,702,3,571640.56,19.0785,2.024829,0
40,Salaried,13,1545406.64,36650.58,828933.63,Personal,627,1,494571.5,28.459,0.536385,0
28,Salaried,6,4042224.64,61160.88,6125844.39,Business,889,1,189667.32,18.1566,1.515464,0
28,Salaried,5,3007660.85,30888.83,1276500.22,Personal,737,3,404976.67,12.3241,0.424416,0
28,Business Owner,0,967104.65,48597.94,1839445.96,Vehicle,616,0,149426.52,60.3012,1.902013,0
38,Salaried,9,2103920.06,52287.3,4034192.33,Vehicle,729,0,124201.36,29.8228,1.917465,0
31,Salaried,2,2032431.87,11260.8,4991796.26,Home,633,3,239280.77,6.6487,2.456071,0
34,Self-Employed,10,1105886.14,46119.1,1151226.17,Education,795,0,545471.65,50.044,1.040999,0
28,Freelancer,1,4143588.46,127730.76,13734201.0,Business,840,0,1058796.53,36.9913,3.314567,1
21,Salaried,3,1305206.66,40075.78,7592953.53,Home,765,2,195743.03,36.8455,5.817434,1
21,Business Owner,0,2448387.18,97217.56,4006175.88,Education,756,2,677793.37,47.6481,1.636251,0
31,Freelancer,13,1704997.37,91084.03,6392785.73,Business,816,2,279838.01,64.1062,3.74944,0
32,Salaried,11,2416408.99,20999.11,3010343.02,Vehicle,605,1,306370.86,10.4283,1.245792,0
43,Salaried,8,1235089.98,35132.84,2087617.53,Personal,621,0,381568.5,34.1347,1.690255,0
23,Business Owner,0,1378855.97,49105.72,1234935.22,Personal,900,0,199637.72,42.7361,0.895623,0
27,Salaried,9,2218610.49,84337.48,5388575.28,Education,700,0,1862516.2,45.6164,2.428806,0
25,Freelancer,7,779885.23,45051.26,1778047.92,Home,578,2,291990.38,69.3198,2.279884,1
21,Salaried,3,976003.49,39203.78,2017049.08,Home,642,2,79641.25,48.2012,2.066641,0
38,Self-Employed,1,1132088.32,39562.89,2169909.68,Business,900,1,325962.25,41.9362,1.916732,0
37,Salaried,12,2481294.4,34433.73,12991784.14,Home,730,0,468387.35,16.6528,5.23589,0
24,Salaried,3,457846.58,23121.89,1520611.71,Home,546,0,54669.11,60.6017,3.321225,1
45,Salaried,2,3415804.78,194156.62,11257267.9,Education,637,2,141322.57,68.2088,3.295641,1
26,Salaried,6,587842.78,12662.21,2574493.33,Business,815,0,253259.94,25.8482,4.379561,0
21,Self-Employed,0,680664.46,25829.14,3259571.23,Home,556,0,41601.66,45.5363,4.788808,1
26,Self-Employed,4,5010929.37,202036.31,5155691.4,Vehicle,751,1,49324.91,48.383,1.028889,0
28,Self-Employed,3,2148004.02,59844.59,3825304.24,Business,627,0,126852.25,33.4327,1.780865,1
21,Salaried,3,839172.19,32732.94,3207744.12,Home,771,0,554110.16,46.8075,3.82251,0
38,Salaried,8,1133097.65,24976.84,1642251.83,Education,739,0,645757.66,26.4516,1.449347,0
27,Self-Employed,6,2689266.92,117851.51,5054844.93,Vehicle,797,1,191542.78,52.5875,1.879637,0
41,Salaried,3,487934.24,6255.15,1767456.32,Business,663,2,296567.24,15.3836,3.622325,0
32,Salaried,14,1743487.74,28708.93,1202589.12,Vehicle,850,0,548551.84,19.7597,0.689761,0
35,Self-Employed,1,1387770.59,19576.24,1423949.18,Personal,562,1,355187.44,16.9275,1.02607,0
26,Business Owner,3,1265596.44,66690.95,6460179.97,Home,565,0,436540.88,63.2343,5.104455,1
34,Salaried,9,1701771.23,3502.43,2220308.07,Vehicle,674,1,270267.23,2.4697,1.304704,0
38,Salaried,0,891408.66,26788.59,3691919.41,Home,646,0,440290.06,36.0624,4.141669,1
21,Business Owner,0,2382807.55,73728.43,6075309.38,Education,670,2,258808.97,37.1302,2.549643,1
33,Business Owner,4,3420238.3,53581.83,17526405.26,Home,695,2,317654.82,18.7993,5.124323,0
36,Self-Employed,7,1183524.54,47197.9,780922.19,Vehicle,715,1,616360.15,47.8549,0.659828,0
26,Salaried,7,1950607.14,82933.39,1454526.89,Personal,635,1,265682.53,51.02,0.745679,0
39,Salaried,8,882560.02,10494.55,2625831.16,Business,719,1,195745.38,14.2692,2.975244,0
40,Self-Employed,4,638254.59,37463.95,760026.35,Personal,673,0,706556.45,70.437,1.190789,1
28,Salaried,8,1593118.07,64142.99,3194432.85,Education,571,0,527187.76,48.3151,2.005145,0
21,Self-Employed,0,2676901.13,48190.83,14650667.03,Home,764,0,126256.8,21.603,5.472995,1
29,Freelancer,0,2179389.1,93191.0,3116399.36,Personal,741,2,324788.7,51.3122,1.429942,0
29,Business Owner,4,1587575.56,48998.49,507154.31,Personal,900,3,96865.76,37.0365,0.319452,0
28,Freelancer,2,1843528.67,32903.97,2947442.01,Education,720,1,108443.6,21.418,1.598805,0
32,Salaried,5,1699567.6,45315.78,6716646.26,Business,588,0,156834.09,31.9957,3.951974,0
28,Salaried,10,4446916.76,219971.44,5360491.53,Vehicle,766,0,397562.18,59.3593,1.20544,0
40,Salaried,10,676347.26,19670.22,2660628.81,Home,772,1,95696.14,34.8996,3.933821,1
40,Self-Employed,0,2598781.98,74447.71,11608544.72,Home,708,0,152482.58,34.3766,4.466917,1
35,Salaried,11,2162320.18,31685.69,12846342.06,Home,611,2,171363.05,17.5843,5.940999,1
21,Self-Employed,0,1317863.13,67549.42,5477838.85,Home,502,1,525577.62,61.5081,4.156607,1
36,Salaried,12,1141741.04,20564.49,1312058.37,Vehicle,815,1,646012.27,21.6138,1.149173,0
42,Salaried,1,2713814.54,19373.09,12523765.66,Home,625,0,229920.81,8.5664,4.61482,0
21,Freelancer,2,948903.58,30712.82,4119924.75,Business,612,2,126706.26,38.84,4.341774,1
33,Business Owner,11,2558553.1,108907.28,5979745.91,Education,661,2,98817.7,51.0792,2.337159,0
25,Salaried,3,2672548.41,3843.98,10782757.28,Home,634,0,212187.62,1.726,4.034635,1
28,Self-Employed,6,3288409.17,39010.36,16556713.08,Home,541,1,112798.59,14.2356,5.03487,0
32,Salaried,10,2131611.36,58460.8,6685471.6,Home,606,1,637842.3,32.9108,3.136346,0
26,Salaried,3,445437.24,19374.55,1438171.37,Education,707,3,373193.84,52.1947,3.228673,1
29,Self-Employed,4,2435033.09,62108.18,12162065.28,Home,640,1,373235.74,30.6073,4.99462,1
21,Salaried,3,3344511.05,223349.71,1916936.55,Vehicle,679,0,153158.25,80.1372,0.573159,1
28,Salaried,10,943779.0,34573.44,3287309.81,Home,868,1,34912.57,43.9596,3.483135,0
36,Salaried,0,1361029.49,4538.68,2259410.86,Vehicle,832,0,162698.78,4.0017,1.660075,0
27,Business Owner,9,4448685.33,231580.53,5364241.03,Education,666,1,329245.32,62.4671,1.205804,0
35,Business Owner,11,2179682.31,51140.04,1881615.63,Vehicle,671,1,387602.2,28.1546,0.863252,0
49,Business Owner,1,3049838.34,8621.74,1274899.7,Personal,759,1,980071.68,3.3923,0.418022,0
37,Salaried,11,1482071.59,44871.4,2170129.71,Vehicle,540,0,153420.79,36.3314,1.464254,0
23,Business Owner,5,1548232.32,43154.45,4354009.15,Business,732,1,68563.75,33.448,2.812245,0
30,Salaried,0,2307534.94,106982.31,3762035.33,Education,849,0,210119.18,55.6346,1.630326,0
32,Salaried,6,1144066.63,53763.09,1855193.57,Vehicle,756,0,259947.73,56.3916,1.621578,0
35,Salaried,7,1248615.7,32801.48,1405399.4,Personal,704,0,312514.83,31.5243,1.125566,0
33,Salaried,9,2885317.41,134568.51,11980264.19,Home,736,0,156411.92,55.9669,4.152148,0
44,Salaried,6,1168705.37,40484.35,1412114.97,Vehicle,770,1,375766.48,41.5684,1.208273,0
26,Salaried,4,2753060.17,58637.68,2628122.87,Vehicle,663,2,609457.66,25.5589,0.954619,0
25,Salaried,3,1169153.24,13587.48,1662909.54,Personal,678,2,315464.79,13.946,1.42232,0
44,Self-Employed,7,522975.92,8189.21,436036.13,Personal,666,0,312370.53,18.7906,0.833759,0
40,Salaried,15,718589.78,11287.51,268561.77,Personal,685,1,193778.25,18.8494,0.373734,0
22,Salaried,1,3533920.6,66486.66,6672954.43,Vehicle,687,0,389882.57,22.5766,1.888258,0
33,Salaried,15,1625088.17,12669.6,3914103.67,Business,679,1,95436.2,9.3555,2.408548,0
22,Self-Employed,3,913472.02,25009.87,1270067.75,Personal,729,2,821050.24,32.8547,1.390374,0
26,Business Owner,1,750874.8,29887.03,1016914.79,Vehicle,715,0,47754.1,47.7635,1.354307,0
38,Salaried,10,1001199.91,11894.42,312113.86,Personal,541,0,487349.89,14.2562,0.31174,0
22,Business Owner,3,2631892.57,83513.7,14804219.01,Home,655,1,132260.0,38.0777,5.624933,1
27,Salaried,9,1433981.6,29039.19,745439.49,Personal,714,3,89294.8,24.3009,0.519839,0
25,Self-Employed,6,1434938.84,34522.86,6815825.06,Business,639,1,368422.27,28.8705,4.749906,1
34,Salaried,10,782853.19,40629.91,643057.49,Education,737,3,576371.81,62.2797,0.821428,0
28,Salaried,10,2049095.94,83297.22,5262587.46,Education,804,0,290451.7,48.7809,2.568248,0
38,Salaried,12,2672457.56,64924.29,3799186.75,Personal,820,0,150937.15,29.1526,1.421608,0
22,Self-Employed,2,1640709.82,55144.95,702612.6,Personal,678,2,31056.97,40.3325,0.428237,0
35,Salaried,1,1982665.2,35665.55,1770789.67,Personal,590,1,648559.67,21.5864,0.893136,0
30,Salaried,6,1852162.03,14139.23,2370804.82,Vehicle,736,1,159089.09,9.1607,1.28002,0
25,Business Owner,2,1429050.38,25879.88,1723614.72,Vehicle,655,2,1582377.96,21.7318,1.206126,0
21,Self-Employed,0,1906598.69,21381.33,1894235.33,Personal,717,2,332130.93,13.4573,0.993515,0
37,Self-Employed,4,861135.33,24753.98,2653548.87,Home,642,2,238730.02,34.4949,3.081454,1
37,Salaried,7,4148736.44,183923.32,2211591.52,Personal,713,2,1214104.59,53.1988,0.533076,1
34,Salaried,14,1166202.82,13751.84,800864.52,Vehicle,667,2,267984.83,14.1504,0.686728,0
24,Salaried,6,797409.32,23407.49,709931.63,Education,665,1,202148.31,35.2253,0.890298,0
39,Salaried,17,3234285.21,146517.72,19382610.27,Home,737,0,307322.16,54.3617,5.992857,0
33,Salaried,15,2719822.09,24205.8,7028417.4,Business,730,2,780595.51,10.6797,2.584146,0
34,Freelancer,0,1497723.15,90545.32,1568320.03,Vehicle,685,1,86620.86,72.5464,1.047136,1
34,Business Owner,4,2208758.29,126954.36,4163309.15,Vehicle,778,1,438991.12,68.9732,1.884909,0
27,Freelancer,4,1380313.44,54243.32,3423969.81,Business,715,0,203870.76,47.1574,2.480574,0
30,Self-Employed,5,1989971.04,51994.04,6415834.07,Education,738,0,135072.1,31.3536,3.224084,1
22,Business Owner,4,1026715.07,26680.0,1190491.45,Personal,825,0,261474.32,31.1829,1.159515,0
28,Self-Employed,8,1328415.71,70538.46,4392419.02,Business,701,0,393786.04,63.7196,3.306509,1
28,Self-Employed,10,925081.36,45484.24,3965172.88,Business,701,0,175062.58,59.0014,4.286296,0
21,Self-Employed,1,3194208.9,35906.54,3571883.79,Education,723,0,228080.99,13.4894,1.118237,0
40,Salaried,3,626714.17,18210.7,3366814.72,Home,706,0,209228.11,34.8689,5.372169,0
21,Salaried,3,1932165.12,25437.35,4499830.36,Education,741,2,236802.43,15.7982,2.328906,0
40,Salaried,5,1259787.48,24995.81,1906974.39,Personal,708,0,314002.57,23.8095,1.513727,0
35,Self-Employed,14,2706840.35,37412.72,3390408.42,Personal,618,2,385279.69,16.5859,1.252534,0
33,Self-Employed,8,3418946.88,120092.17,6842301.35,Home,626,0,398362.48,42.1506,2.001289,0
34,Salaried,8,517468.58,27396.24,531013.43,Personal,658,2,165704.63,63.5314,1.026175,1
32,Salaried,8,1644912.55,37650.31,2609739.14,Business,780,0,82087.37,27.4667,1.586552,0
21,Business Owner,3,1384079.89,74227.61,1473176.95,Vehicle,742,0,90589.89,64.3555,1.064373,0
29,Self-Employed,4,1747462.4,23728.87,4495155.0,Home,736,0,727178.71,16.2949,2.57239,0
31,Freelancer,4,874224.87,21318.76,1602330.45,Education,620,2,153238.94,29.2631,1.832858,0
32,Self-Employed,14,2472072.94,89831.48,7257239.3,Business,730,0,325063.92,43.6062,2.93569,0
35,Salaried,12,3974050.41,170367.42,17356530.29,Home,676,1,768418.16,51.444,4.367466,0
30,Salaried,5,2009735.58,33017.72,6018928.98,Business,604,1,70894.58,19.7147,2.994886,0
43,Salaried,14,1903558.43,51286.51,3487450.28,Vehicle,812,2,331023.21,32.3309,1.832069,0
